Number,Times drawn,Percent of drawings,Percent of draws,Last drawn
3,63,0.0943,0.0189,45373
10,63,0.0943,0.0189,45328
17,60,0.0898,0.018,45331
14,59,0.0883,0.0177,45317
31,59,0.0883,0.0177,45373
46,59,0.0883,0.0177,45370
8,58,0.0868,0.0174,45373
64,58,0.0868,0.0174,45363
15,57,0.0853,0.0171,45352
29,56,0.0838,0.0168,45331
38,56,0.0838,0.0168,45296
20,55,0.0823,0.0165,45359
42,53,0.0793,0.0159,45338
44,53,0.0793,0.0159,45373
43,52,0.0778,0.0156,45226
58,52,0.0778,0.0156,45359
59,52,0.0778,0.0156,45321
61,52,0.0778,0.0156,45356
4,51,0.0763,0.0153,45345
11,51,0.0763,0.0153,45324
25,51,0.0763,0.0153,45366
53,51,0.0763,0.0153,45300
7,50,0.0749,0.015,45219
18,50,0.0749,0.015,45349
62,50,0.0749,0.015,45370
16,49,0.0734,0.0147,45363
22,49,0.0734,0.0147,45359
24,49,0.0734,0.0147,45370
40,49,0.0734,0.0147,45345
66,49,0.0734,0.0147,45370
6,48,0.0719,0.0144,45349
19,48,0.0719,0.0144,45359
30,48,0.0719,0.0144,45310
33,48,0.0719,0.0144,45352
48,48,0.0719,0.0144,45121
70,48,0.0719,0.0144,45356
1,47,0.0704,0.0141,45335
26,47,0.0704,0.0141,45349
28,47,0.0704,0.0141,45314
37,47,0.0704,0.0141,45352
57,47,0.0704,0.0141,45363
2,46,0.0689,0.0138,45363
13,46,0.0689,0.0138,45366
32,46,0.0689,0.0138,45300
27,45,0.0674,0.0135,45349
34,45,0.0674,0.0135,45317
52,45,0.0674,0.0135,45261
68,45,0.0674,0.0135,45342
9,44,0.0659,0.0132,45310
39,44,0.0659,0.0132,45338
47,44,0.0659,0.0132,45359
41,43,0.0644,0.0129,45345
12,42,0.0629,0.0126,45300
45,42,0.0629,0.0126,45342
69,42,0.0629,0.0126,45331
54,41,0.0614,0.0123,45307
56,41,0.0614,0.0123,45142
63,41,0.0614,0.0123,45209
5,40,0.0599,0.012,45342
21,40,0.0599,0.012,45314
36,40,0.0599,0.012,45282
55,40,0.0599,0.012,45352
60,40,0.0599,0.012,45345
67,40,0.0599,0.012,45338
23,39,0.0584,0.0117,45338
35,39,0.0584,0.0117,45373
50,38,0.0569,0.0114,45366
65,35,0.0524,0.0105,45261
49,34,0.0509,0.0102,45370
51,34,0.0509,0.0102,45366
