Number,Times drawn,Percent of drawings,Last drawn
4,52,5.09%,3/13/2024
18,52,5.09%,2/14/2024
24,49,4.80%,10/18/2023
14,46,4.51%,2/21/2024
21,45,4.41%,2/17/2024
5,43,4.21%,3/16/2024
26,43,4.21%,3/4/2024
3,42,4.11%,3/23/2024
6,40,3.92%,2/28/2024
10,40,3.92%,3/6/2024
11,40,3.92%,1/10/2024
13,40,3.92%,1/6/2024
25,40,3.92%,12/16/2023
8,39,3.82%,3/27/2024
9,39,3.82%,3/20/2024
19,38,3.72%,2/3/2024
1,37,3.62%,1/1/2024
2,36,3.53%,1/17/2024
7,36,3.53%,12/30/2023
20,35,3.43%,12/11/2023
17,33,3.23%,2/19/2024
12,32,3.13%,3/2/2024
16,32,3.13%,3/18/2024
22,32,3.13%,9/30/2023
23,32,3.13%,3/25/2024
15,28,2.74%,1/13/2024
