Number,Times drawn,Percent of drawings,Percent of draws,Last drawn
61,97,9.50%,1.90%,3/16/2024
21,92,9.01%,1.80%,3/13/2024
63,92,9.01%,1.80%,3/9/2024
32,90,8.81%,1.76%,1/24/2024
27,88,8.62%,1.72%,3/20/2024
36,88,8.62%,1.72%,3/9/2024
23,85,8.33%,1.67%,3/23/2024
39,85,8.33%,1.67%,3/18/2024
62,84,8.23%,1.65%,3/13/2024
64,84,8.23%,1.65%,1/29/2024
69,84,8.23%,1.65%,2/17/2024
28,83,8.13%,1.63%,3/6/2024
37,83,8.13%,1.63%,3/27/2024
33,82,8.03%,1.61%,2/21/2024
47,82,8.03%,1.61%,2/14/2024
59,82,8.03%,1.61%,3/13/2024
3,81,7.93%,1.59%,3/11/2024
20,81,7.93%,1.59%,3/18/2024
53,81,7.93%,1.59%,3/25/2024
68,79,7.74%,1.55%,3/25/2024
19,78,7.64%,1.53%,3/25/2024
16,77,7.54%,1.51%,3/11/2024
67,77,7.54%,1.51%,3/4/2024
2,76,7.44%,1.49%,2/5/2024
10,76,7.44%,1.49%,3/18/2024
12,76,7.44%,1.49%,3/16/2024
44,76,7.44%,1.49%,3/18/2024
66,76,7.44%,1.49%,3/27/2024
6,75,7.35%,1.47%,3/23/2024
17,75,7.35%,1.47%,3/18/2024
50,74,7.25%,1.45%,3/4/2024
18,73,7.15%,1.43%,3/2/2024
56,73,7.15%,1.43%,12/20/2023
1,72,7.05%,1.41%,3/11/2024
15,72,7.05%,1.41%,1/31/2024
22,72,7.05%,1.41%,3/20/2024
24,72,7.05%,1.41%,2/26/2024
30,72,7.05%,1.41%,3/9/2024
38,72,7.05%,1.41%,2/28/2024
40,72,7.05%,1.41%,2/24/2024
45,72,7.05%,1.41%,2/19/2024
54,72,7.05%,1.41%,3/20/2024
11,71,6.95%,1.39%,3/25/2024
41,71,6.95%,1.39%,2/21/2024
42,71,6.95%,1.39%,3/4/2024
52,70,6.86%,1.37%,3/9/2024
57,70,6.86%,1.37%,3/27/2024
14,69,6.76%,1.35%,12/23/2023
25,68,6.66%,1.33%,3/23/2024
31,68,6.66%,1.33%,1/20/2024
55,68,6.66%,1.33%,10/9/2023
58,68,6.66%,1.33%,2/24/2024
8,67,6.56%,1.31%,2/24/2024
9,67,6.56%,1.31%,2/3/2024
65,67,6.56%,1.31%,1/27/2024
43,66,6.46%,1.29%,2/12/2024
4,65,6.37%,1.27%,2/21/2024
7,65,6.37%,1.27%,3/25/2024
51,65,6.37%,1.27%,3/23/2024
60,65,6.37%,1.27%,3/27/2024
35,64,6.27%,1.25%,1/15/2024
48,64,6.27%,1.25%,1/10/2024
5,63,6.17%,1.23%,1/24/2024
46,63,6.17%,1.23%,3/27/2024
26,62,6.07%,1.21%,2/28/2024
34,62,6.07%,1.21%,3/23/2024
29,61,5.97%,1.19%,3/13/2024
49,58,5.68%,1.14%,3/9/2024
13,54,5.29%,1.06%,3/20/2024
