Number,Times drawn,Percent of drawings,Percent of draws,Last drawn
3,72,9.28%,1.86%,3/14/2025
10,71,9.15%,1.83%,1/28/2025
31,70,9.02%,1.80%,3/28/2025
14,68,8.76%,1.75%,3/4/2025
17,67,8.63%,1.73%,3/25/2025
8,66,8.51%,1.70%,3/7/2025
20,66,8.51%,1.70%,3/7/2025
46,66,8.51%,1.70%,2/21/2025
64,64,8.25%,1.65%,1/21/2025
66,64,8.25%,1.65%,2/28/2025
29,63,8.12%,1.62%,4/1/2025
38,63,8.12%,1.62%,3/11/2025
15,62,7.99%,1.60%,3/21/2025
22,62,7.99%,1.60%,3/21/2025
11,61,7.86%,1.57%,4/4/2025
42,61,7.86%,1.57%,3/14/2025
43,61,7.86%,1.57%,1/24/2025
58,61,7.86%,1.57%,3/7/2025
26,60,7.73%,1.55%,3/11/2025
19,59,7.60%,1.52%,3/11/2025
24,58,7.47%,1.49%,2/7/2025
33,58,7.47%,1.49%,3/18/2025
44,58,7.47%,1.49%,10/15/2024
61,58,7.47%,1.49%,2/18/2025
4,57,7.35%,1.47%,2/25/2025
48,57,7.35%,1.47%,3/7/2025
59,57,7.35%,1.47%,1/3/2025
62,57,7.35%,1.47%,3/25/2025
1,56,7.22%,1.44%,3/25/2025
18,56,7.22%,1.44%,11/12/2024
28,56,7.22%,1.44%,4/4/2025
30,56,7.22%,1.44%,2/28/2025
52,56,7.22%,1.44%,3/21/2025
53,56,7.22%,1.44%,2/4/2025
70,56,7.22%,1.44%,3/14/2025
7,55,7.09%,1.42%,2/11/2025
25,55,7.09%,1.42%,2/18/2025
16,54,6.96%,1.39%,12/6/2024
37,54,6.96%,1.39%,4/4/2025
39,54,6.96%,1.39%,3/25/2025
40,54,6.96%,1.39%,9/20/2024
57,54,6.96%,1.39%,3/21/2025
69,54,6.96%,1.39%,4/4/2025
6,53,6.83%,1.37%,9/24/2024
27,53,6.83%,1.37%,3/18/2025
32,53,6.83%,1.37%,3/18/2025
2,52,6.70%,1.34%,3/28/2025
13,52,6.70%,1.34%,2/21/2025
56,52,6.70%,1.34%,2/14/2025
54,51,6.57%,1.31%,2/4/2025
9,50,6.44%,1.29%,3/28/2025
12,50,6.44%,1.29%,4/1/2025
34,50,6.44%,1.29%,11/29/2024
5,49,6.31%,1.26%,3/25/2025
21,49,6.31%,1.26%,4/1/2025
35,49,6.31%,1.26%,4/4/2025
23,48,6.19%,1.24%,1/10/2025
41,48,6.19%,1.24%,2/11/2025
47,48,6.19%,1.24%,3/4/2025
55,48,6.19%,1.24%,2/7/2025
60,48,6.19%,1.24%,3/28/2025
68,48,6.19%,1.24%,12/17/2024
63,47,6.06%,1.21%,3/28/2025
67,47,6.06%,1.21%,12/20/2024
45,46,5.93%,1.19%,12/24/2024
36,45,5.80%,1.16%,12/13/2024
65,45,5.80%,1.16%,1/21/2025
50,44,5.67%,1.13%,11/19/2024
49,41,5.28%,1.06%,4/1/2025
51,41,5.28%,1.06%,12/20/2024
