Number,Times drawn,Percent of drawings,Last drawn
4,60,4.82%,8/13/2025
21,59,4.74%,8/4/2025
24,58,4.66%,7/14/2025
18,57,4.58%,8/23/2025
25,56,4.50%,8/27/2025
14,55,4.42%,8/9/2025
9,54,4.34%,8/6/2025
5,52,4.18%,8/20/2025
20,52,4.18%,7/19/2025
3,49,3.94%,7/28/2025
1,48,3.86%,8/18/2025
13,47,3.78%,5/31/2025
26,47,3.78%,1/1/2025
2,46,3.70%,8/11/2025
6,46,3.70%,6/30/2025
8,45,3.62%,7/30/2025
19,45,3.62%,6/16/2025
10,44,3.54%,4/9/2025
11,44,3.54%,6/18/2025
7,42,3.38%,1/15/2025
22,42,3.38%,8/25/2025
23,41,3.30%,8/16/2025
12,40,3.22%,6/28/2025
17,40,3.22%,8/30/2025
15,38,3.05%,5/17/2025
16,37,2.97%,11/16/2024
